Config,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,Seed,diff_gnn_with_order,diff_gnn_without_order,diff_gnn_org,gl25_org,best_method
config_mkspan_area_0.1_hw_0.1_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.1,0,9047.814617665212,8990.744493092796,9006.233983495113,9466.813815823476,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.1_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.1,1,8737.626042122241,8275.84499839865,8290.147058565779,8769.553212251987,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.1,2,8006.641241245611,7833.283107473885,7833.283107473885,8942.015456463534,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.1_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.1,3,9012.413435071318,8586.672222729467,9176.932562614338,9214.558124102598,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.3_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.1,0,9003.025528329003,9032.325127262891,9047.814617665212,9466.813815823476,diff_gnn_with_order
config_mkspan_area_0.1_hw_0.3_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.1,1,8376.113224897204,8449.18058543314,8290.147058565779,8769.553212251987,diff_gnn_org
config_mkspan_area_0.1_hw_0.3_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.1,2,8148.419582601141,7884.203740355234,8178.291365941627,8942.015456463534,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.3_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.1,3,8986.552329531154,8653.45423064427,9176.932562614338,9214.558124102598,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.5_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.1,0,8939.069412309005,9032.325127262891,9047.814617665212,9466.813815823476,diff_gnn_with_order
config_mkspan_area_0.1_hw_0.5_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.1,1,8536.80522259885,8159.080028525733,8275.84499839865,8769.553212251987,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.5_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.1,2,8148.419582601141,8167.413830352882,7833.283107473885,8942.015456463534,diff_gnn_org
config_mkspan_area_0.1_hw_0.5_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.1,3,9012.413435071318,8692.407990776124,9176.932562614338,9214.558124102598,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.7_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.1,0,9003.025528329003,8945.955403756587,9047.814617665212,9466.813815823476,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.7_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.1,1,8296.17020438933,8449.18058543314,8189.676310285515,8769.553212251987,diff_gnn_org
config_mkspan_area_0.1_hw_0.7_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.1,2,8412.747794689567,8167.413830352882,7852.277355225627,8942.015456463534,diff_gnn_org
config_mkspan_area_0.1_hw_0.7_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.1,3,8808.179421276125,8708.153381699773,9169.64996547696,9214.558124102598,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.9_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.1,0,9003.025528329003,8990.744493092796,8945.955403756587,9466.813815823476,diff_gnn_org
config_mkspan_area_0.1_hw_0.9_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.1,1,8598.437888928493,8266.604818756065,8290.147058565779,8769.553212251987,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.9_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.1,2,8483.662169519957,8167.413830352882,8178.291365941627,8942.015456463534,diff_gnn_without_order
config_mkspan_area_0.1_hw_0.9_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.1,3,9012.413435071318,8716.616175486044,9117.81907208507,9214.558124102598,diff_gnn_without_order
config_mkspan_area_0.3_hw_0.1_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.3,0,9047.814617665212,9047.814617665212,9047.814617665212,9466.813815823476,diff_gnn_with_order
config_mkspan_area_0.3_hw_0.1_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.3,1,8224.904933002113,9625.52879429717,9418.169937204872,8769.553212251987,diff_gnn_with_order
config_mkspan_area_0.3_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.3,2,8248.289255852202,7611.279669462174,7863.154890814371,8942.015456463534,diff_gnn_without_order
config_mkspan_area_0.3_hw_0.1_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.3,3,8585.888942201509,8706.576325173064,8258.924551919099,9214.558124102598,diff_gnn_org
config_mkspan_area_0.3_hw_0.3_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.3,0,9003.025528329003,9047.814617665212,9047.814617665212,9466.813815823476,diff_gnn_with_order
config_mkspan_area_0.3_hw_0.3_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.3,1,8372.238186927292,9821.275754868202,9666.414649309709,8769.553212251987,diff_gnn_with_order
config_mkspan_area_0.3_hw_0.3_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.3,2,8339.042027192061,8051.402873341151,7771.58244702012,8942.015456463534,diff_gnn_org
config_mkspan_area_0.3_hw_0.3_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.3,3,9012.413435071318,8542.390021778043,8340.169323254575,9214.558124102598,diff_gnn_org
config_mkspan_area_0.3_hw_0.5_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.3,0,9047.814617665212,9047.814617665212,9047.814617665212,9466.813815823476,diff_gnn_with_order
config_mkspan_area_0.3_hw_0.5_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.3,1,8497.122703553918,9557.90723380908,10040.505162670795,8769.553212251987,diff_gnn_with_order
config_mkspan_area_0.3_hw_0.5_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.3,2,7913.162339694628,8672.002091091874,7833.283107473885,8942.015456463534,diff_gnn_org
config_mkspan_area_0.3_hw_0.5_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.3,3,8733.795487512176,8507.57174385008,8371.171156151533,9214.558124102598,diff_gnn_org
config_mkspan_area_0.3_hw_0.7_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.3,0,9003.025528329003,8987.536037926684,9003.025528329003,9466.813815823476,diff_gnn_without_order
config_mkspan_area_0.3_hw_0.7_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.3,1,8376.113224897204,10488.885786825676,10469.632989800448,8769.553212251987,diff_gnn_with_order
config_mkspan_area_0.3_hw_0.7_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.3,2,8097.498949719792,8215.164700160647,7760.704911431377,8942.015456463534,diff_gnn_org
config_mkspan_area_0.3_hw_0.7_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.3,3,8808.179421276125,8547.708809913089,8742.286655335525,9214.558124102598,diff_gnn_without_order
config_mkspan_area_0.3_hw_0.9_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.3,0,8987.536037926684,8990.744493092796,8961.444894158905,9466.813815823476,diff_gnn_org
config_mkspan_area_0.3_hw_0.9_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.3,1,8562.630407853472,10747.387633690276,11303.197048006155,8769.553212251987,diff_gnn_with_order
config_mkspan_area_0.3_hw_0.9_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.3,2,8483.662169519957,8076.556121878702,8178.291365941627,8942.015456463534,diff_gnn_without_order
config_mkspan_area_0.3_hw_0.9_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.3,3,8986.552329531154,8723.89877262342,8758.032046259174,9214.558124102598,diff_gnn_without_order
config_mkspan_area_0.5_hw_0.1_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.5,0,4920.819183250195,9079.519227027824,9079.519227027824,4904.87157861954,gl25_org
config_mkspan_area_0.5_hw_0.1_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.5,1,4473.317598078906,4668.265311921804,4816.855472947482,4932.736395727151,diff_gnn_with_order
config_mkspan_area_0.5_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.5,2,3888.448277806976,5640.990996351074,5584.753934091003,4669.146109088412,diff_gnn_with_order
config_mkspan_area_0.5_hw_0.1_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.5,3,4216.417201460787,5483.330038575366,5632.292522966641,5229.587341119073,diff_gnn_with_order
config_mkspan_area_0.5_hw_0.3_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.5,0,5750.281969417171,9148.233636287454,9148.233636287454,5625.646976880034,gl25_org
config_mkspan_area_0.5_hw_0.3_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.5,1,5191.992187449899,5664.730311089657,5055.2286314495295,5581.06840530122,diff_gnn_org
config_mkspan_area_0.5_hw_0.3_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.5,2,4057.372633260672,6590.202960214046,8942.015456463534,5347.279764188882,diff_gnn_with_order
config_mkspan_area_0.5_hw_0.3_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.5,3,5472.580219986526,6038.349220681678,5240.049312539777,5238.514238517581,gl25_org
config_mkspan_area_0.5_hw_0.5_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.5,0,6444.403674093916,9148.233636287454,9148.233636287454,6316.719423720921,gl25_org
config_mkspan_area_0.5_hw_0.5_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.5,1,5768.596414423214,5685.562948348467,5881.069925089868,5212.211055937514,gl25_org
config_mkspan_area_0.5_hw_0.5_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.5,2,6451.660327122291,8412.747794689567,8942.015456463534,5796.24062542144,gl25_org
config_mkspan_area_0.5_hw_0.5_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.5,3,6283.093977067745,6428.2297849468805,6497.7634291916,5987.2397549492125,gl25_org
config_mkspan_area_0.5_hw_0.7_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.5,0,9466.813815823476,9148.233636287454,9148.233636287454,6094.303526069518,gl25_org
config_mkspan_area_0.5_hw_0.7_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.5,1,6548.074889317292,8769.553212251987,8769.553212251987,6558.949784125074,diff_gnn_with_order
config_mkspan_area_0.5_hw_0.7_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.5,2,4440.295879155787,8030.828090135482,8178.291365941627,5979.76938663311,diff_gnn_with_order
config_mkspan_area_0.5_hw_0.7_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.5,3,6985.133899467547,6826.198415937004,6959.607389354992,5890.545383953535,gl25_org
config_mkspan_area_0.5_hw_0.9_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.5,0,9466.813815823476,9079.519227027824,9079.519227027824,6909.471910194261,gl25_org
