method,count,mean_makespan,median_makespan,std_makespan,min_makespan,max_makespan,best_count
milp,59,3790.245191673782,4172.721469818643,986.6130567737108,1421.7807731473793,4991.885476406772,59
diff_gnn_with_order,59,7854.938481356227,8483.662169519957,1568.6465777418102,3888.448277806976,9466.813815823476,0
gl25_org,59,8016.631181251632,8942.015456463534,1635.5294752169598,4669.146109088412,9466.813815823476,0
diff_gnn_without_order,59,8316.142343061274,8653.45423064427,1202.2648009805941,4668.265311921804,10747.387633690276,0
pso_org,59,8796.457972026154,8769.553212251987,325.7351537875036,8172.679749681684,9466.813815823476,0
shade_org,59,8839.725270747014,8942.015456463534,546.1648310997253,7237.800243732358,9466.813815823476,0
jade_org,59,8840.98760560489,8942.015456463534,551.2151364615564,7280.795226870227,9466.813815823476,0
random_org,59,8914.792587099453,8942.015456463534,442.0945642803633,7639.680823372622,9466.813815823476,0
dbpso_org,59,8916.459267465156,8942.015456463534,459.6455744242616,7453.825775997877,9466.813815823476,0
ccpso_org,59,8927.300639375417,8942.015456463534,509.5341110200305,6772.846544907835,9466.813815823476,0
clpso_org,59,8976.277671039454,8942.015456463534,388.7540731313639,7848.506104954434,9466.813815823476,0
esa_org,59,9013.502772394997,8942.015456463534,342.9259798015009,7830.535076455148,9466.813815823476,0
greedy_org,59,9096.263576364769,8942.015456463534,269.53039517237755,8769.553212251987,9466.813815823476,0
