Config,diff_gnn_makespan,gl25_makespan,abs_diff
config_mkspan_area_0.3_hw_0.1_seed_1,9418.169937204873,8769.553212251987,648.6167249528862
config_mkspan_area_0.3_hw_0.3_seed_1,9666.414649309707,8769.553212251987,896.8614370577197
config_mkspan_area_0.3_hw_0.5_seed_1,10040.505162670795,8769.553212251987,1270.9519504188083
config_mkspan_area_0.3_hw_0.7_seed_1,10469.632989800448,8769.553212251987,1700.0797775484607
config_mkspan_area_0.3_hw_0.9_seed_1,11303.197048006157,8769.553212251987,2533.64383575417
config_mkspan_area_0.5_hw_0.1_seed_0,9079.519227027824,4904.87157861954,4174.647648408284
config_mkspan_area_0.5_hw_0.1_seed_2,5584.753934091003,4669.146109088412,915.6078250025912
config_mkspan_area_0.5_hw_0.1_seed_3,5632.292522966641,5229.587341119073,402.7051818475675
config_mkspan_area_0.5_hw_0.3_seed_0,9148.233636287454,5625.646976880034,3522.5866594074196
config_mkspan_area_0.5_hw_0.3_seed_2,8942.015456463534,5347.279764188882,3594.735692274652
config_mkspan_area_0.5_hw_0.3_seed_3,5240.049312539777,5238.514238517581,1.5350740221956585
config_mkspan_area_0.5_hw_0.5_seed_0,9148.233636287454,6316.719423720921,2831.5142125665325
config_mkspan_area_0.5_hw_0.5_seed_1,5881.069925089868,5212.211055937514,668.8588691523537
config_mkspan_area_0.5_hw_0.5_seed_2,8942.015456463534,5796.24062542144,3145.774831042094
config_mkspan_area_0.5_hw_0.5_seed_3,6497.7634291916,5987.2397549492125,510.52367424238764
config_mkspan_area_0.5_hw_0.7_seed_0,9148.233636287454,6094.303526069518,3053.930110217936
config_mkspan_area_0.5_hw_0.7_seed_1,8769.553212251987,6558.949784125074,2210.603428126913
config_mkspan_area_0.5_hw_0.7_seed_2,8178.291365941627,5979.76938663311,2198.521979308517
config_mkspan_area_0.5_hw_0.7_seed_3,6959.607389354992,5890.545383953535,1069.062005401457
config_mkspan_area_0.5_hw_0.9_seed_0,9079.519227027824,6909.471910194261,2170.047316833563
config_mkspan_area_0.5_hw_0.9_seed_1,8467.069533924234,6558.771277855072,1908.2982560691617
config_mkspan_area_0.5_hw_0.9_seed_2,8666.983188410368,6218.760669128824,2448.222519281544
config_mkspan_area_0.5_hw_0.9_seed_3,9214.558124102598,7304.31776883194,1910.2403552706573
config_mkspan_area_0.7_hw_0.1_seed_0,9079.519227027824,3351.665058246388,5727.854168781436
config_mkspan_area_0.7_hw_0.1_seed_1,3185.317755330749,3149.8355718412267,35.48218348952241
config_mkspan_area_0.7_hw_0.1_seed_2,3649.9890345618946,3348.911447397996,301.07758716389844
config_mkspan_area_0.7_hw_0.1_seed_3,3616.151422086662,3590.669575096641,25.48184699002104
config_mkspan_area_0.7_hw_0.3_seed_0,9148.233636287454,4866.73453037976,4281.499105907694
config_mkspan_area_0.7_hw_0.3_seed_1,4015.8001073113146,3999.9258265211715,15.874280790143075
config_mkspan_area_0.7_hw_0.3_seed_2,4283.951376592516,4136.802638913402,147.14873767911376
config_mkspan_area_0.7_hw_0.5_seed_0,9148.233636287454,4911.530468456337,4236.703167831117
config_mkspan_area_0.7_hw_0.5_seed_1,4894.047281595932,4682.539891587129,211.50739000880276
config_mkspan_area_0.7_hw_0.5_seed_3,5180.2198446490365,4968.768287082811,211.45155756622535
config_mkspan_area_0.7_hw_0.7_seed_0,9148.233636287454,5341.585786999855,3806.6478492875985
config_mkspan_area_0.7_hw_0.7_seed_1,5333.971745856273,4838.430871408233,495.5408744480401
config_mkspan_area_0.7_hw_0.7_seed_2,5551.87606065376,5231.221931285753,320.6541293680066
config_mkspan_area_0.7_hw_0.7_seed_3,5801.605812389371,5409.550964335524,392.0548480538464
config_mkspan_area_0.7_hw_0.9_seed_0,9079.519227027824,6412.635524197153,2666.8837028306707
config_mkspan_area_0.7_hw_0.9_seed_1,8769.553212251987,5978.473010490969,2791.0802017610185
config_mkspan_area_0.7_hw_0.9_seed_2,8942.015456463534,5886.268412159,3055.747044304534
config_mkspan_area_0.7_hw_0.9_seed_3,9214.558124102598,5281.381514960394,3933.1766091422032
config_mkspan_area_0.9_hw_0.1_seed_0,9079.519227027824,3061.0208555960407,6018.498371431783
config_mkspan_area_0.9_hw_0.3_seed_0,9148.233636287454,3989.1975299739256,5159.036106313528
config_mkspan_area_0.9_hw_0.5_seed_0,9148.233636287454,4980.909842483237,4167.323793804217
config_mkspan_area_0.9_hw_0.7_seed_0,9148.233636287454,5341.585786999855,3806.6478492875985
config_mkspan_area_0.9_hw_0.7_seed_2,8942.015456463534,5066.684037573553,3875.3314188899813
config_mkspan_area_0.9_hw_0.9_seed_0,9079.519227027824,6296.275522941534,2783.2437040862897
config_mkspan_area_0.9_hw_0.9_seed_1,8769.553212251987,6272.020047299395,2497.5331649525924
config_mkspan_area_0.9_hw_0.9_seed_2,8942.015456463534,5886.268412159,3055.747044304534
config_mkspan_area_0.9_hw_0.9_seed_3,9214.558124102598,5304.559931956442,3909.998192146156
