method,mean_gap_%,median_gap_%,p95_gap_%,mean_ratio,median_ratio,within_1%,within_5%,within_10%,wins,win_rate_%,mean_time_s,median_time_s,n_instances
gl25,135.24015928658548,104.50631800829491,435.81440647053194,2.3524015928658546,2.0450631800829493,0.0,0.0,0.0,38,38.0,37.33078006982803,37.0922577381134,100
diff_gnn,167.27752962123196,108.5250464719642,455.28074090732974,2.6727752962123197,2.0852504647196417,0.0,0.0,0.0,43,43.0,100.40652666091918,100.26987445354462,100
pso,178.06723231754248,111.71178285430085,474.48503612414623,2.7806723231754247,2.1171178285430083,0.0,0.0,0.0,19,19.0,84.91638944864273,84.93385231494904,100
dbpso,219.5096906798927,137.8423098396254,841.3361786972052,3.195096906798927,2.3784230983962535,0.0,0.0,0.0,1,1.0,94.24239929199219,94.23296332359314,100
greedy,223.71193027701557,134.06405192948753,517.700814915527,3.2371193027701555,2.3406405192948756,0.0,0.0,0.0,2,2.0,0.001608312129974318,0.0014162063598632,100
jade,246.4852797995144,134.54083399464366,998.6342507189711,3.464852797995144,2.345408339946437,0.0,0.0,0.0,1,1.0,38.655860016345976,38.663182735443115,100
shade,247.30472333542028,134.9310854043412,1007.2223153342575,3.4730472333542024,2.349310854043412,0.0,0.0,0.0,1,1.0,38.70167968034744,38.77362143993378,100
ccpso,263.0155243545961,138.88935120558327,1146.9123668347174,3.630155243545961,2.388893512055833,0.0,0.0,0.0,1,1.0,3.8853242087364195,3.890682578086853,100
clpso,266.35639181109406,141.0376342998598,1119.9172593097253,3.6635639181109405,2.410376342998598,0.0,0.0,0.0,1,1.0,3.883376443386078,3.8913331031799316,100
random,267.3216868206638,140.60604112175974,1122.9289110007396,3.6732168682066377,2.4060604112175974,0.0,0.0,0.0,1,1.0,9.780173146724701,9.762679815292358,100
esa,268.28562957220197,140.60604112175974,1125.097853610298,3.682856295722019,2.4060604112175974,0.0,0.0,0.0,1,1.0,19.205795648097993,19.209307312965393,100
