area-constraint,acceleration-factor,seed,makespan
0.1,1.4285714285714286,3,7757.402331849612
0.7,3.3333333333333335,2,4110.3853838064315
0.9,2.0,2,3963.107329379455
0.9,1.4285714285714286,1,4943.069262784705
0.5,2.0,3,5732.981206856403
0.5,1.1111111111111112,3,7049.369387482626
0.5,1.4285714285714286,1,6459.242037762775
0.5,3.3333333333333335,2,4873.506097988354
0.3,10.0,2,5678.614748678331
0.5,1.4285714285714286,3,6440.382988023771
0.5,3.3333333333333335,1,4970.298045306517
0.5,10.0,3,4684.119741664176
0.5,2.0,1,5799.540932987502
0.7,2.0,0,5217.634866781132
0.1,1.1111111111111112,0,8174.485124329383
0.7,10.0,1,2643.374421970535
0.7,1.4285714285714286,3,5814.077549359345
0.9,3.3333333333333335,0,1895.8204197130394
0.5,2.0,2,5652.094166248313
0.9,1.1111111111111112,3,6245.449052712405
0.7,2.0,3,4697.460696531955
0.3,1.1111111111111112,0,7466.581259940241
0.1,2.0,3,7965.024245681958
0.3,10.0,3,6073.535380848153
0.3,3.3333333333333335,2,6034.24150031941
0.9,3.3333333333333335,3,2522.620231606857
0.5,10.0,2,4331.54985413725
0.5,1.4285714285714286,0,6610.352444877678
0.7,3.3333333333333335,1,3808.8985119284494
0.5,1.1111111111111112,2,6727.204396086969
0.9,3.3333333333333335,2,2576.3250448219474
0.5,10.0,0,4761.967364010484
0.1,2.0,0,8175.021828633879
0.7,1.1111111111111112,2,4978.826985119383
0.1,1.4285714285714286,1,7994.971143755716
0.9,3.3333333333333335,1,2238.453264874803
0.1,2.0,2,7770.964843140238
0.3,1.1111111111111112,1,7662.084075953501
0.3,1.4285714285714286,1,7282.393785294068
0.7,1.4285714285714286,2,5153.970011782865
0.1,3.3333333333333335,1,7645.8305969085595
0.5,10.0,1,4102.223480559708
0.9,1.1111111111111112,1,6103.723248957505
0.9,2.0,0,3022.9641212675615
0.3,2.0,2,6369.74633359559
0.7,10.0,3,3056.37449492729
0.9,1.4285714285714286,2,3059.4501591832072
0.7,1.1111111111111112,3,6276.027439372344
0.7,1.4285714285714286,1,5534.376365413
0.1,1.4285714285714286,0,8283.246618296724
0.3,1.1111111111111112,2,6998.3953966442195
0.3,1.4285714285714286,2,6656.716852298617
0.7,3.3333333333333335,3,4243.361404765381
0.5,1.1111111111111112,1,7145.788530234103
0.9,1.1111111111111112,0,5776.073566258075
0.7,10.0,2,2874.2138205196793
0.7,1.1111111111111112,0,5891.7121323174215
0.9,10.0,2,1373.1132653993886
0.5,3.3333333333333335,0,5018.796836374964
0.9,10.0,1,1759.0856109197662
0.7,3.3333333333333335,0,3945.3741766969897
0.5,2.0,0,5886.398947989471
0.7,2.0,2,4772.772603833848
0.3,10.0,0,6237.765047425158
0.7,1.1111111111111112,1,6529.740916495968
0.3,3.3333333333333335,3,6385.940211902142
0.5,1.1111111111111112,0,6937.53213162218
0.9,10.0,0,1642.9559407570396
0.9,1.1111111111111112,2,5096.919583058412
0.1,10.0,3,7755.945285184364
0.1,1.1111111111111112,2,7644.175476562681
0.9,1.4285714285714286,3,4494.254337226755
0.3,2.0,1,6825.667076279434
0.9,2.0,1,3586.9948110526516
0.3,2.0,0,6861.6259056358485
0.3,3.3333333333333335,1,6265.620197211947
0.9,10.0,3,1245.4837991601362
0.1,3.3333333333333335,3,7661.3591454948855
0.1,1.1111111111111112,1,8086.642434061366
0.7,1.4285714285714286,0,6065.845003468252
0.3,1.4285714285714286,0,7037.059805559209
0.7,2.0,1,4675.657094548089
0.1,10.0,2,7453.556915641111
0.3,10.0,1,5599.125718211381
0.1,10.0,1,7463.3214693772425
0.7,10.0,0,2724.076916830842
0.1,1.4285714285714286,2,7532.833403463649
0.1,3.3333333333333335,2,7634.715609707043
0.3,3.3333333333333335,0,6576.75269134
0.3,1.1111111111111112,3,7318.747702694899
0.5,3.3333333333333335,3,5205.733930645497
0.1,2.0,1,7841.452535294166
0.1,3.3333333333333335,0,7944.570153788118
0.1,10.0,0,7847.523489918566
0.5,1.4285714285714286,2,5944.824841420291
0.3,1.4285714285714286,3,6999.489006266432
0.1,1.1111111111111112,3,8064.764875594378
0.9,2.0,3,3138.748358957664
0.3,2.0,3,6762.607002148528
0.9,1.4285714285714286,0,5046.952655252834
